Date,Value,Type,,
2019 Q1,140226,World Trade Imports,,
2019 Q2,118177,World Trade Imports,,
2019 Q3,125045,World Trade Imports,,
2019 Q4,120309,World Trade Imports,,
2020 Q1,111498,World Trade Imports,,
2020 Q2,81612,World Trade Imports,,
2020 Q3,105604,World Trade Imports,,
2020 Q4,127128,World Trade Imports,,
2021 Q1,102535,World Trade Imports,,
2019 Q1,90558,World Trade Exports,,
2019 Q2,84800,World Trade Exports,,
2019 Q3,92650,World Trade Exports,,
2019 Q4,104946,World Trade Exports,,
2020 Q1,82622,World Trade Exports,,
2020 Q2,71020,World Trade Exports,,
2020 Q3,73098,World Trade Exports,,
2020 Q4,84146,World Trade Exports,,
2021 Q1,72399,World Trade Exports,,
2019 Q1,73586,EU28 Imports,,
2019 Q2,63009,EU28 Imports,,
2019 Q3,66348,EU28 Imports,,
2019 Q4,65169,EU28 Imports,,
2020 Q1,58983,EU28 Imports,,
2020 Q2,42940,EU28 Imports,,
2020 Q3,56222,EU28 Imports,,
2020 Q4,67637,EU28 Imports,,
2021 Q1,50798,EU28 Imports,,
2019 Q1,46902,EU28 exports,,
2019 Q2,39951,EU28 exports,,
2019 Q3,41771,EU28 exports,,
2019 Q4,41954,EU28 exports,,
2020 Q1,38998,EU28 exports,,
2020 Q2,30054,EU28 exports,,
2020 Q3,34574,EU28 exports,,
2020 Q4,41076,EU28 exports,,
2021 Q1,33702,EU28 exports,,