Date,Value,Type
2019 Q1,46693,World Trade Imports
2019 Q2,52005,World Trade Imports
2019 Q3,62080,World Trade Imports
2019 Q4,52209,World Trade Imports
2020 Q1,45834,World Trade Imports
2020 Q2,37756,World Trade Imports
2020 Q3,38440,World Trade Imports
2020 Q4,37673,World Trade Imports
2021 Q1,35406,World Trade Imports
2019 Q1,70755,World Trade exports
2019 Q2,79304,World Trade exports
2019 Q3,82098,World Trade exports
2019 Q4,84163,World Trade exports
2020 Q1,71110,World Trade exports
2020 Q2,63867,World Trade exports
2020 Q3,63443,World Trade exports
2020 Q4,68682,World Trade exports
2021 Q1,62494,World Trade exports
2019 Q1,21916,EU28 Imports
2019 Q2,24525,EU28 Imports
2019 Q3,31041,EU28 Imports
2019 Q4,25264,EU28 Imports
2020 Q1,20483,EU28 Imports
2020 Q2,15531,EU28 Imports
2020 Q3,16760,EU28 Imports
2020 Q4,15338,EU28 Imports
2021 Q1,13423,EU28 Imports
2019 Q1,26694,EU28 exports
2019 Q2,29373,EU28 exports
2019 Q3,31868,EU28 exports
2019 Q4,32687,EU28 exports
2020 Q1,26213,EU28 exports
2020 Q2,23108,EU28 exports
2020 Q3,23327,EU28 exports
2020 Q4,25862,EU28 exports
2021 Q1,22781,EU28 exports