Date,Value,Type,,,,,,,,,,
2019 Q1,186919,World Trade Imports,,,,,,,,,,
2019 Q2,170182,World Trade Imports,,,,,,,,,,
2019 Q3,187125,World Trade Imports,,,,,,,,,,
2019 Q4,172518,World Trade Imports,,,,,,,,,,
2020 Q1,157332,World Trade Imports,,,,,,,,,,
2020 Q2,119368,World Trade Imports,,,,,,,,,,
2020 Q3,144044,World Trade Imports,,,,,,,,,,
2020 Q4,164801,World Trade Imports,,,,,,,,,,
2021 Q1,137941,World Trade Imports,,,,,,,,,,
2019 Q1,161313,World Trade Exports,,,,,,,,,,
2019 Q2,164104,World Trade Exports,,,,,,,,,,
2019 Q3,174748,World Trade Exports,,,,,,,,,,
2019 Q4,189109,World Trade Exports,,,,,,,,,,
2020 Q1,153732,World Trade Exports,,,,,,,,,,
2020 Q2,134887,World Trade Exports,,,,,,,,,,
2020 Q3,136541,World Trade Exports,,,,,,,,,,
2020 Q4,152828,World Trade Exports,,,,,,,,,,
2021 Q1,134893,World Trade Exports,,,,,,,,,,
2019 Q1,95502,EU28 Imports,,,,,,,,,,
2019 Q2,87534,EU28 Imports,,,,,,,,,,
2019 Q3,97389,EU28 Imports,,,,,,,,,,
2019 Q4,90433,EU28 Imports,,,,,,,,,,
2020 Q1,79466,EU28 Imports,,,,,,,,,,
2020 Q2,58471,EU28 Imports,,,,,,,,,,
2020 Q3,72982,EU28 Imports,,,,,,,,,,
2020 Q4,82975,EU28 Imports,,,,,,,,,,
2021 Q1,64221,EU28 Imports,,,,,,,,,,
2019 Q1,73596,EU28 Exports,,,,,,,,,,
2019 Q2,69324,EU28 Exports,,,,,,,,,,
2019 Q3,73639,EU28 Exports,,,,,,,,,,
2019 Q4,74641,EU28 Exports,,,,,,,,,,
2020 Q1,65211,EU28 Exports,,,,,,,,,,
2020 Q2,53162,EU28 Exports,,,,,,,,,,
2020 Q3,57901,EU28 Exports,,,,,,,,,,
2020 Q4,66938,EU28 Exports,,,,,,,,,,
2021 Q1,56483,EU28 Exports,,,,,,,,,,