Entity,Code,Year,food_emissions_land_use,food_emissions_farm,food_emissions_animal_feed,food_emissions_processing,food_emissions_transport,food_emissions_retail,food_emissions_packaging
,,,,,,,,,
Bananas,,2018,0,0.3,0,0.1,0.3,0,0.1
Beef (beef herd),,2018,16.3,39.4,1.9,1.3,0.3,0.2,0.2
Beef (dairy herd),,2018,0.9,15.7,2.5,1.1,0.4,0.2,0.3
Cheese,,2018,4.5,13.1,2.3,0.7,0.1,0.3,0.2
Coffee,,2018,3.7,10.4,0,0.6,0.1,0.1,1.6
Eggs,,2018,0.7,1.3,2.2,0,0.1,0,0.2
Fish (farmed),,2018,0.5,3.6,0.8,0,0.1,0,0.1
Lamb & Mutton,,2018,0.5,19.5,2.4,1.1,0.5,0.2,0.3
Maize,,2018,0.3,0.5,0,0.1,0.1,0,0.1
Milk,,2018,0.5,1.5,0.2,0.1,0.1,0.3,0.1
Palm Oil,,2018,3.1,2.1,0,1.3,0.2,0,0.9
Peas,,2018,0,0.7,0,0,0.1,0,0
Pig Meat,,2018,1.5,1.7,2.9,0.3,0.3,0.2,0.3
Poultry Meat,,2018,2.5,0.7,1.8,0.4,0.3,0.2,0.2
Rice,,2018,0,3.6,0,0.1,0.1,0.1,0.1
Shrimps (farmed),,2018,0.2,8.4,2.5,0,0.2,0.2,0.3
Tofu,,2018,1,0.5,0,0.8,0.2,0.3,0.2
Wheat & Rye,,2018,0.1,0.8,0,0.2,0.1,0.1,0.1